1,0.15591797875964059
2,0.14617064354719875
3,0.11897269837875525
4,0.09483844023877004
5,0.07587909495611031
6,0.06129718507437178
7,0.0500448114138249
8,0.04127177593923545
9,0.03434952685091795
10,0.028822939347524112
11,0.024361967439992038
12,0.020724988545868257
13,0.01773293262199889
14,0.015251365333583473
15,0.01317807920992923
16,0.011434431922802786
17,0.009959232759579833
18,0.00870437430834541
19,0.007631671916200718
20,0.006710548882147278
21,0.005916321108073001
22,0.005228911786387199
23,0.0046318781976095
24,0.004111667565190459
25,0.0036570428012236934
26,0.0032586355250070575
27,0.0029085953303684122
28,0.002600312489497532
