0,0.2598003767410725
1,0.16393568308817658
2,0.11977606109554344
3,0.09148923351060019
4,0.07140180159408537
5,0.05643609778051574
6,0.044982000238604124
7,0.036065981656210985
8,0.029045554371853823
9,0.023472066213894596
10,0.01902002555928326
11,0.015446872415947608
12,0.012568297322310372
13,0.010242206393001206
14,0.008357831835961393
15,0.006828076734513064
16,0.005583985136343734
17,0.004570660298506865
18,0.0037441994161139386
19,0.003069359435813544
20,0.0025177593426274764
21,0.0020664826937235497
22,0.0016969829000073574
23,0.0013942201471841339
24,0.0011459772596853382
