0,0.09700612699264262
1,0.10136817449946117
2,0.09605129098637798
3,0.08789424505388958
4,0.0790028476353575
5,0.07024127614768376
6,0.06199519620984407
7,0.0544295846268081
8,0.047597873790081374
9,0.04149484041805467
10,0.0360845125311651
11,0.0313156991036197
12,0.02713089387281939
13,0.023471430901060183
14,0.020280435975865655
15,0.017504448155448847
16,0.015094227393686713
17,0.013005062392305344
18,0.01119677441605663
19,0.00963354096083565
20,0.00828361839085326
21,0.007119014165402705
22,0.00611514084879625
23,0.0052504720462321075
24,0.004506212474415402
