0,0.05111093206231537
1,0.069679113639585
2,0.0767592746548395
3,0.07786338064987579
4,0.07558747576057753
5,0.0714001150076507
6,0.06619912100956177
7,0.0605520759708524
8,0.05482084185675044
9,0.04923357929717302
10,0.043929462981721616
11,0.03898776975147623
12,0.03444739414484004
13,0.03032020741279175
14,0.026600315049016984
15,0.023270511498807135
16,0.02030678437697149
17,0.017681444110023845
18,0.015365276926170138
19,0.013329000841601732
20,0.01154422368559517
21,0.00998404614900953
22,0.008623413221456397
23,0.0074392890231833875
